Quarter,Dublin,Greater Dublin Area,Outside GDA,%YoY Dublin,%YoY Greater Dublin,%YoY Outside GDA,YoY Dublin,QoQ Dublin,%QoQ Dublin
Q3 08,1357,1011,697,9.0,1.1,-9.1,112,-23,-1.7
Q4 08,1329,994,687,2.2,-3.0,-10.5,28,-28,-2.0
Q1 09,1287,969,671,-6.8,-5.6,-5.7,-94,-42,-3.2
Q2 09,1248,938,655,-9.5,-8.5,-7.5,-132,-39,-3.0
Q3 09,1206,905,639,-11.1,-10.4,-8.4,-151,-42,-3.4
Q4 09,1148,870,621,-13.6,-12.5,-9.6,-181,-58,-4.8
Q1 10,1103,837,604,-14.3,-13.6,-10.0,-183,-45,-3.9
Q2 10,1078,814,591,-13.6,-13.2,-9.7,-170,-25,-2.3
Q3 10,1068,804,585,-11.4,-11.2,-8.5,-138,-10,-1.0
Q4 10,1046,791,575,-8.9,-9.1,-7.4,-102,-22,-2.0
Q1 11,1037,782,568,-6.0,-6.5,-6.0,-67,-9,-0.9
Q2 11,1044,779,562,-3.1,-4.3,-5.0,-34,8,0.7
Q3 11,1058,775,562,-0.9,-3.5,-3.9,-10,14,1.3
Q4 11,1051,770,557,0.5,-2.6,-3.1,5,-7,-0.6
Q1 12,1051,766,551,1.4,-2.1,-2.9,14,-1,-0.1
Q2 12,1057,764,547,1.2,-2.0,-2.7,12,6,0.6
Q3 12,1091,765,554,3.1,-1.4,-1.5,32,34,3.2
Q4 12,1090,759,551,3.7,-1.4,-1.2,38,-1,-0.1
Q1 13,1094,761,541,4.1,-0.7,-1.9,43,4,0.4
Q2 13,1102,764,539,4.3,0.0,-1.5,45,8,0.7
Q3 13,1131,771,551,3.7,0.8,-0.6,40,29,2.6
Q4 13,1135,776,550,4.1,2.1,-0.2,45,5,0.4
Q1 14,1125,786,542,2.9,3.3,0.2,31,-10,-0.9
Q2 14,1147,799,544,4.1,4.7,1.1,45,22,1.9
Q3 14,1196,821,564,5.8,6.5,2.4,65,49,4.3
Q4 14,1210,836,565,6.6,7.8,2.9,75,14,1.2
Q1 15,1224,852,559,8.8,8.5,3.2,99,14,1.1
Q2 15,1251,871,565,9.1,8.9,3.8,104,27,2.2
Q3 15,1309,896,589,9.4,9.1,4.5,113,58,4.6
Q4 15,1308,912,602,8.0,9.1,6.5,97,-1,-0.1
Q1 16,1309,931,592,7.0,9.2,5.8,86,2,0.1
Q2 16,1339,951,602,7.1,9.2,6.5,88,30,2.3
Q3 16,1394,973,623,6.5,8.6,5.8,85,55,4.1
Q4 16,1405,988,629,7.4,8.3,4.5,97,11,0.8
Q1 17,1406,1006,634,7.4,8.0,7.0,97,1,0.1
Q2 17,1442,1024,645,7.7,7.7,7.2,103,36,2.6
Q3 17,1496,1048,664,7.3,7.7,6.5,102,54,3.7
Q4 17,1514,1069,674,7.8,8.2,7.1,109,18,1.2
Q1 18,1522,1077,678,8.2,7.1,7.0,116,8,0.5
Q2 18,1558,1090,689,8.0,6.5,6.8,115,36,2.3
Q3 18,1600,1111,710,6.9,6.0,7.0,104,42,2.7
Q4 18,1617,1123,717,6.8,5.1,6.4,103,18,1.1
Q1 19,1635,1129,725,7.4,4.8,6.9,113,18,1.1
Q2 19,1656,1145,777,6.3,5.0,12.9,98,21,1.3
Q3 19,1685,1168,762,5.3,5.2,7.4,85,29,1.8
Q4 19,1692,1179,769,4.6,5.1,7.2,74,7,0.4
Q1 20,1706,1197,767,4.4,6.0,5.9,71,15,0.9
Q2 20,1719,1203,774,3.8,5.1,-0.4,63,13,0.7
Q3 20,1749,1219,788,3.8,4.4,3.4,65,30,1.8
Q4 20,1728,1230,789,2.1,4.3,2.6,36,-21,-1.2
Q1 21,1816,1295,828,6.5,8.3,7.9,110,88,5.1
Q2 21,1832,1303,840,6.5,8.3,8.5,113,15,0.8
Q3 21,1866,1322,866,6.7,8.4,9.9,117,34,1.9
Q4 21,1804,1332,881,4.4,8.2,11.6,76,-62,-3.3
Q1 22,1831,1369,897,0.8,5.6,8.2,15,27,1.5
Q2 22,1863,1367,914,1.7,4.9,8.8,31,32,1.8
Q3 22,1887,1362,923,1.1,3.0,6.6,21,24,1.3
Q4 22,1908,1385,970,5.7,4.0,10.2,103,21,1.1
Q1 23,1935,1395,979,5.7,1.9,9.1,104,28,1.4
Q2 23,1969,1413,997,5.7,3.4,9.2,106,34,1.8
Q3 23,2006,1450,1037,6.3,6.5,12.3,119,37,1.9
Q4 23,2035,1469,1093,6.7,6.0,12.7,127,29,1.4
Q1 24,2065,1516,1091,6.7,8.7,11.4,130,30,1.5
