Quarter,National Unemployment Rate SA (%),Dublin Unemployed SA (000),Dublin Unemployment Rate SA (%),Dublin Employed SA (000),QoQ Dublin Employed,QoQ Dublin Unemployment Rate,YoY Dublin Employed,%YoY Dublin Unemployed,Dublin - National Unemployment Rate SA (%)
Q3 99,5.6,24.4,4.5,534.8,4.9,-0.5,26.971,-2.48,-1.1
Q4 99,5.4,24.1,4.2,538.9,4.1,-0.3,28.448,-1.66,-1.2
Q1 00,4.9,22.1,3.9,543.6,4.7,-0.3,22.204,-1.64,-1.0
Q2 00,4.7,21.0,3.5,551.3,7.7,-0.4,21.441,-1.44,-1.2
Q3 00,4.4,19.9,3.4,560.3,9.0,-0.1,25.509,-1.12,-1.0
Q4 00,4.0,16.7,3.0,561.8,1.5,-0.5,22.832,-1.25,-1.0
Q1 01,4.0,16.2,3.0,563.1,1.3,0.1,19.494,-0.87,-1.0
Q2 01,4.0,18.9,3.1,563.5,0.4,0.1,12.173,-0.44,-0.9
Q3 01,4.4,20.2,3.4,566.9,3.4,0.3,6.585,-0.01,-1.0
Q4 01,4.4,20.7,3.5,566.5,-0.4,0.1,4.721,0.51,-0.9
Q1 02,4.5,22.2,3.8,565.0,-1.5,0.4,1.948,0.81,-0.7
Q2 02,4.6,24.0,4.1,563.0,-2.0,0.3,-0.476,1.0,-0.5
Q3 02,4.5,24.8,4.3,561.8,-1.2,0.2,-5.031,0.87,-0.2
Q4 02,5.3,27.9,4.5,562.2,0.3,0.2,-4.318,0.99,-0.8
Q1 03,4.8,26.3,4.5,563.3,1.1,0.0,-1.762,0.65,-0.3
Q2 03,4.8,24.1,4.3,567.9,4.6,-0.2,4.855,0.16,-0.5
Q3 03,5.0,27.2,4.8,563.0,-4.8,0.5,1.174,0.53,-0.2
Q4 03,4.8,26.6,4.2,566.9,3.9,-0.6,4.788,-0.22,-0.6
Q1 04,5.1,29.9,4.9,566.2,-0.8,0.7,2.927,0.42,-0.2
Q2 04,4.7,25.5,4.3,567.8,1.6,-0.6,-0.066,0.02,-0.4
Q3 04,4.5,25.7,4.5,573.9,6.1,0.3,10.847,-0.26,0.0
Q4 04,4.7,26.1,4.3,580.0,6.1,-0.2,13.072,0.09,-0.4
Q1 05,4.4,26.5,4.4,583.9,3.8,0.1,17.685,-0.52,0.0
Q2 05,4.9,30.3,4.7,593.8,9.9,0.3,25.992,0.43,-0.2
Q3 05,4.7,29.3,4.7,599.1,5.3,0.0,25.213,0.17,0.0
Q4 05,4.6,30.3,4.8,604.5,5.4,0.1,24.435,0.43,0.2
Q1 06,4.7,31.5,4.9,614.2,9.7,0.1,30.287,0.46,0.2
Q2 06,4.7,32.1,4.8,613.3,-0.9,0.0,19.495,0.12,0.1
Q3 06,5.0,30.6,4.8,624.0,10.8,0.0,24.966,0.14,-0.2
Q4 06,4.7,31.4,4.8,635.9,11.9,-0.1,31.471,0.01,0.1
Q1 07,4.9,31.9,4.8,645.3,9.3,0.0,31.117,-0.07,-0.1
Q2 07,5.0,34.6,4.9,646.2,0.9,0.1,32.883,0.1,-0.1
Q3 07,4.9,32.8,4.9,652.0,5.9,0.0,27.989,0.04,0.0
Q4 07,5.2,33.5,4.8,652.5,0.5,0.0,16.566,0.07,-0.4
Q1 08,5.4,35.3,5.3,652.6,0.1,0.4,7.348,0.5,-0.1
Q2 08,5.9,35.9,5.3,652.7,0.1,0.0,6.587,0.4,-0.6
Q3 08,7.4,46.1,6.8,645.6,-7.2,1.5,-6.454,1.94,-0.6
Q4 08,8.6,50.6,7.4,625.5,-20.1,0.5,-27.033,2.51,-1.2
Q1 09,10.9,62.3,9.3,610.8,-14.7,1.9,-41.857,3.97,-1.6
Q2 09,12.6,71.2,10.3,596.8,-14.0,1.0,-55.949,4.97,-2.3
Q3 09,13.3,72.9,11.2,580.6,-16.2,0.9,-64.994,4.35,-2.1
Q4 09,13.8,76.8,11.5,579.2,-1.4,0.4,-46.22,4.16,-2.3
Q1 10,13.8,74.1,11.6,573.9,-5.3,0.1,-36.813,2.35,-2.2
Q2 10,14.3,76.4,12.1,568.9,-5.0,0.5,-27.854,1.83,-2.2
Q3 10,14.6,75.9,12.2,562.9,-6.1,0.0,-17.724,1.02,-2.4
Q4 10,15.6,87.6,12.9,554.8,-8.1,0.7,-24.453,1.38,-2.7
Q1 11,15.2,82.9,13.0,553.5,-1.3,0.1,-20.473,1.39,-2.2
Q2 11,15.0,79.4,12.9,560.3,6.8,-0.1,-8.654,0.78,-2.1
Q3 11,15.6,83.4,13.6,545.3,-15.0,0.7,-17.595,1.42,-2.0
Q4 11,15.8,87.0,13.1,549.2,3.9,-0.5,-5.591,0.23,-2.7
Q1 12,16.0,87.5,13.8,546.3,-2.9,0.7,-7.202,0.82,-2.2
Q2 12,15.6,76.2,12.4,548.8,2.6,-1.4,-11.46,-0.54,-3.2
