Quarter,Dublin Airport Total Pax Seasonally Adjusted by CSO,Total (m),% YoY,%QoQ,YoY,% Average YoY,Changes in  previous four quarters,Sum of previous four quarters
Q4 14,5670588,5.671,10.67,3.5,546.903,7.83,1575.0,21693.0
Q1 15,5940129,5.94,14.61,4.75,757.155,9.77,1998.0,22451.0
Q2 15,6168203,6.168,15.05,3.84,806.992,11.89,2472.0,23258.0
Q3 15,6335056,6.335,15.63,2.71,856.397,14.03,2967.0,24114.0
Q4 15,6482881,6.483,14.32,2.33,812.293,14.9,3233.0,24926.0
Q1 16,6750673,6.751,13.65,4.13,810.544,14.64,3286.0,25737.0
Q2 16,6883747,6.884,11.6,1.97,715.544,13.74,3195.0,26452.0
Q3 16,6960953,6.961,9.88,1.12,625.897,12.29,2964.0,27078.0
Q4 16,7119637,7.12,9.82,2.28,636.756,11.19,2789.0,27715.0
Q1 17,7277758,7.278,7.81,2.22,527.085,9.73,2505.0,28242.0
Q2 17,7281895,7.282,5.78,0.06,398.148,8.27,2188.0,28640.0
Q3 17,7416680,7.417,6.55,1.85,455.727,7.45,2018.0,29096.0
Q4 17,7485668,7.486,5.14,0.93,366.031,6.3,1747.0,29462.0
Q1 18,7420353,7.42,1.96,-0.87,142.595,4.82,1363.0,29605.0
Q2 18,7993550,7.994,9.77,7.72,711.655,5.85,1676.0,30316.0
Q3 18,7881404,7.881,6.27,-1.4,464.724,5.79,1685.0,30781.0
Q4 18,7986729,7.987,6.69,1.34,501.061,6.18,1820.0,31282.0
Q1 19,8124237,8.124,9.49,1.72,703.884,8.04,2381.0,31986.0
Q2 19,8214810,8.215,2.77,1.11,221.26,6.24,1891.0,32207.0
Q3 19,8225980,8.226,4.37,0.14,344.576,5.75,1771.0,32552.0
Q4 19,8085870,8.086,1.24,-1.7,99.141,4.38,1369.0,32651.0
Q1 20,6524115,6.524,-19.7,-19.31,-1600.0,-2.92,-935.145,31051.0
Q2 20,138762,138.762,-98.31,-97.87,-8076.0,-28.67,-9232.0,22975.0
Q3 20,1064366,1.064,-87.06,667.04,-7162.0,-51.42,-16739.0,15813.0
Q4 20,774682,774.682,-90.42,-27.22,-7311.0,-73.96,-24149.0,8502.0
Q1 21,506983,506.983,-92.23,-34.56,-6017.0,-92.0,-28566.0,2485.0
Q2 21,503907,503.907,263.14,-0.61,365.145,-87.6,-20125.0,2850.0
Q3 21,2726425,2.726,156.15,441.06,1662.0,-71.47,-11301.0,4512.0
Q4 21,4501023,4.501,481.02,65.09,3726.0,-3.1,-263.587,8238.0
Q1 22,5066704,5.067,899.38,12.57,4560.0,415.06,10313.0,12798.0
Q2 22,7113344,7.113,1311.64,40.39,6609.0,580.98,16558.0,19407.0
Q3 22,7429563,7.43,172.5,4.45,4703.0,434.37,19599.0,24111.0
Q4 22,7762246,7.762,72.46,4.48,3261.0,232.25,19134.0,27372.0
Q1 23,8183736,8.184,61.52,5.43,3117.0,138.23,17691.0,30489.0
Q2 23,8285979,8.286,16.49,1.25,1173.0,63.14,12254.0,31662.0
Q3 23,8360935,8.361,12.54,0.9,931.372,35.18,8482.0,32593.0
Q4 23,8432098,8.432,8.63,0.85,669.852,21.52,5891.0,33263.0
Q1 24,8421886,8.422,2.91,-0.12,238.1495568,9.88,3012.0,33501.0
Q2 24,8677195,8.677,4.72,3.03,391.2155413,7.05,2231.0,33892.0
Q3 24,8655160,8.655,3.5,-0.1,294.0,4.9,1583.0,34176.0
