Quarter,Completions NEW,Commencements,completions___commencements,unsafe__yoy_completions,unsafe__yoy_commencements,YoY Completions,YoY Commencements,unsafe__qoq_completions,unsafe__qoq_commencements,QoQ Completions,QoQ Commencements
Q1 12,128,43,True,-61.7,-34.8,-205.6,-23.0,-6.5,-6.5,-8.87,-3.0
Q2 12,107,391,False,-69.4,139.9,-242.0,228.0,-16.5,809.3,-21.12,348.0
Q3 12,150,89,True,-19.9,41.3,-37.4,26.0,41.0,-77.2,43.74,-302.0
Q4 12,185,243,False,35.5,428.3,48.5,197.0,23.1,173.0,34.7,154.0
Q1 13,131,254,False,2.7,490.7,3.5,211.0,-29.1,4.5,-53.84,11.0
Q2 13,197,182,True,85.1,-53.5,90.7,-209.0,50.4,-28.3,66.15,-72.0
Q3 13,188,487,False,24.8,447.2,37.3,398.0,-4.9,167.6,-9.68,305.0
Q4 13,283,528,False,52.8,117.3,97.8,285.0,50.7,8.4,95.21,41.0
Q1 14,350,1575,False,166.3,520.1,218.3,1321.0,23.5,198.3,66.62,1047.0
Q2 14,471,144,True,138.5,-20.9,273.4,-38.0,34.7,-90.9,121.26,-1431.0
Q3 14,448,311,True,138.6,-36.1,260.2,-176.0,-4.9,116.0,-22.9,167.0
Q4 14,432,420,True,52.6,-20.5,148.8,-108.0,-3.6,35.0,-16.16,109.0
Q1 15,517,469,True,47.8,-70.2,167.0,-1106.0,19.7,11.7,84.85,49.0
Q2 15,468,898,False,-0.6,523.6,-2.9,754.0,-9.4,91.5,-48.67,429.0
Q3 15,584,1218,False,30.3,291.6,135.6,907.0,24.7,35.6,115.56,320.0
Q4 15,543,1301,False,25.6,209.8,110.7,881.0,-7.0,6.8,-41.0,83.0
Q1 16,918,1552,False,77.7,230.9,401.5,1083.0,69.2,19.3,375.64,251.0
Q2 16,901,1093,False,92.6,21.7,433.3,195.0,-1.8,-29.6,-16.93,-459.0
Q3 16,868,897,False,48.8,-26.4,284.7,-321.0,-3.7,-17.9,-33.06,-196.0
Q4 16,879,1862,False,62.1,43.1,336.8,561.0,1.3,107.6,11.11,965.0
Q1 17,1206,1465,False,31.4,-5.6,288.2,-87.0,37.2,-21.3,327.08,-397.0
Q2 17,1344,2196,False,49.1,100.9,442.6,1103.0,11.4,49.9,137.42,731.0
Q3 17,1564,1686,False,80.1,88.0,695.5,789.0,16.4,-23.2,219.87,-510.0
Q4 17,1406,1640,False,59.9,-11.9,526.6,-222.0,-10.1,-2.7,-157.81,-46.0
Q1 18,1385,1433,False,14.8,-2.2,178.2,-32.0,-1.5,-12.6,-21.31,-207.0
Q2 18,1919,1950,False,42.8,-11.2,575.3,-246.0,38.6,36.1,534.54,517.0
Q3 18,1917,2084,False,22.6,23.6,353.6,398.0,-0.1,6.9,-1.78,134.0
Q4 18,1625,2240,False,15.6,36.6,219.5,600.0,-15.2,7.5,-291.96,156.0
Q1 19,1696,2237,False,22.5,56.1,311.5,804.0,4.4,-0.1,70.72,-3.0
Q2 19,1571,1589,False,-18.2,-18.5,-348.4,-361.0,-7.4,-29.0,-125.39,-648.0
Q3 19,2010,2648,False,4.8,27.1,92.2,564.0,27.9,66.6,438.84,1059.0
Q4 19,1650,2524,False,1.5,12.7,24.6,284.0,-17.9,-4.7,-359.62,-124.0
Q1 20,1896,3218,False,11.8,43.9,200.0,981.0,14.9,27.5,246.16,694.0
Q2 20,888,1154,False,-43.4,-27.4,-682.2,-435.0,-53.1,-64.1,-1007.62,-2064.0
Q3 20,1136,1935,False,-43.5,-26.9,-873.5,-713.0,27.9,67.7,247.62,781.0
Q4 20,1995,1886,True,20.9,-25.3,345.2,-638.0,75.6,-2.5,859.03,-49.0
Q1 21,1170,395,True,-38.3,-87.7,-725.7,-2823.0,-41.3,-79.1,-824.68,-1491.0
Q2 21,1638,5013,False,84.3,334.4,749.1,3859.0,39.9,1169.1,467.11,4618.0
Q3 21,1278,3596,False,12.5,85.8,141.9,1661.0,-22.0,-28.3,-359.56,-1417.0
Q4 21,2004,1932,True,0.5,2.4,9.1,46.0,56.8,-46.3,726.26,-1664.0
Q1 22,2495,1855,True,113.2,369.6,1324.7,1460.0,24.5,-4.0,490.93,-77.0
Q2 22,2905,2704,True,77.4,-46.1,1267.6,-2309.0,16.4,45.8,409.96,849.0
Q3 22,2702,2653,True,111.4,-26.2,1423.6,-943.0,-7.0,-1.9,-203.49,-51.0
Q4 22,2333,2435,False,16.4,26.0,328.8,503.0,-13.6,-8.2,-368.57,-218.0
Q1 23,2922,2747,True,17.1,48.1,426.9,892.0,25.2,12.8,589.06,312.0
Q2 23,2526,3577,False,-13.0,32.3,-379.1,873.0,-13.6,30.2,-396.06,830.0
Q3 23,3686,3267,True,36.4,23.1,984.5,614.0,45.9,-8.7,1160.08,-310.0
Q4 23,3362,4002,False,44.1,64.4,1028.6,1567.0,-8.8,22.5,-324.44,735.0
Q1 24,2184,4347,False,-25.2,58.2,-737.7,1600.0,-35.0,8.6,-1177.33,345.0
Q2 24,2250,7562,False,-10.9,111.4,-275.7,3985.0,3.0,74.0,66.01,3215.0
Q3 24,3862,6056,False,4.8,85.4,176.2,2789.0,71.6,-19.9,1612.0,-1506.0
