Month Year,All Dublin properties,All National properties Excl. Dublin,% YoY Dublin,% YoY National  excl. Dublin,MoM  Dublin,MoM National excl. Dublin,%MoM Dublin,%MoM National excl. Dublin
Jan 06,136.8,159.0,15.4,11.9,0.6,0.8,0.4,0.5
Feb 06,137.9,158.9,14.0,11.7,1.1,-0.1,0.8,-0.1
Mar 06,138.7,159.7,13.8,11.8,0.8,0.8,0.6,0.5
Apr 06,141.3,161.8,15.2,12.5,2.6,2.1,1.9,1.3
May 06,145.0,164.6,17.2,13.7,3.7,2.8,2.6,1.7
Jun 06,148.7,166.9,20.1,13.8,3.7,2.3,2.6,1.4
Jul 06,153.4,169.7,22.4,13.7,4.7,2.8,3.2,1.7
Aug 06,157.9,172.8,23.6,14.0,4.5,3.1,2.9,1.8
Sep 06,158.2,174.9,21.7,14.5,0.3,2.1,0.2,1.2
Oct 06,159.3,176.0,19.1,13.3,1.1,1.1,0.7,0.6
Nov 06,158.7,176.3,17.2,12.8,-0.6,0.3,-0.4,0.2
Dec 06,158.9,178.4,16.7,12.8,0.2,2.1,0.1,1.2
Jan 07,159.2,180.6,16.4,13.6,0.3,2.2,0.2,1.2
Feb 07,160.0,181.4,16.0,14.2,0.8,0.8,0.5,0.4
Mar 07,158.5,182.7,14.3,14.4,-1.5,1.3,-0.9,0.7
Apr 07,158.8,183.6,12.4,13.5,0.3,0.9,0.2,0.5
May 07,157.2,183.7,8.4,11.6,-1.6,0.1,-1.0,0.1
Jun 07,157.6,182.9,6.0,9.6,0.4,-0.8,0.3,-0.4
Jul 07,158.5,183.1,3.3,7.9,0.9,0.2,0.6,0.1
Aug 07,157.7,183.0,-0.1,5.9,-0.8,-0.1,-0.5,-0.1
Sep 07,157.9,182.9,-0.2,4.6,0.2,-0.1,0.1,-0.1
Oct 07,158.0,182.1,-0.8,3.5,0.1,-0.8,0.1,-0.4
Nov 07,156.6,182.8,-1.3,3.7,-1.4,0.7,-0.9,0.4
Dec 07,154.6,182.5,-2.7,2.3,-2.0,-0.3,-1.3,-0.2
Jan 08,151.1,182.2,-5.1,0.9,-3.5,-0.3,-2.3,-0.2
Feb 08,150.2,180.3,-6.1,-0.6,-0.9,-1.9,-0.6,-1.0
Mar 08,149.5,178.5,-5.7,-2.3,-0.7,-1.8,-0.5,-1.0
Apr 08,149.5,176.3,-5.9,-4.0,0.0,-2.2,0.0,-1.2
May 08,149.5,173.4,-4.9,-5.6,0.0,-2.9,0.0,-1.6
Jun 08,148.1,171.8,-6.0,-6.1,-1.4,-1.6,-0.9,-0.9
Jul 08,146.2,171.3,-7.8,-6.4,-1.9,-0.5,-1.3,-0.3
Aug 08,144.2,169.9,-8.6,-7.2,-2.0,-1.4,-1.4,-0.8
Sep 08,139.3,169.3,-11.8,-7.4,-4.9,-0.6,-3.4,-0.4
Oct 08,134.4,166.6,-14.9,-8.5,-4.9,-2.7,-3.5,-1.6
Nov 08,130.6,164.4,-16.6,-10.1,-3.8,-2.2,-2.8,-1.3
Dec 08,128.0,161.3,-17.2,-11.6,-2.6,-3.1,-2.0,-1.9
